Dim Reduction,Method,Clusters,ARI,Jaccard,Silhouette
PCA,K-means,7,0.7979016477145586,0.724120017232204,0.2461978487962954
PCA,Hierarchical,7,0.8294685218075828,0.763170323848913,0.24629022733221279
PCA,Leiden,6,0.887511176902832,0.8391766047113377,0.23947076087859073
TSNE,K-means,5,0.9925379262715904,0.9887562749718266,0.7341289520263672
TSNE,Hierarchical,5,0.9925379262715904,0.9887562749718266,0.7341289520263672
TSNE,Leiden,7,0.7567809092943573,0.6726463169815206,0.6611647605895996
UMAP,K-means,5,0.9925379262715904,0.9887562749718266,0.889072597026825
UMAP,Hierarchical,5,0.9925379262715904,0.9887562749718266,0.889072597026825
UMAP,Leiden,7,0.7634896833982222,0.6807010319890882,0.7666563987731934
